City,Latitude,Longitude,Zipcode,Break even,Annual Sun Hours,PCPI,PCPI Growth
"San Diego, CA",32.715738,-117.1610838,92154,4,3054.6,72637,7.1
"San Jose, CA",37.33874,-121.8852525,95123,4,3243.14,136338,7.3
"San Fransisco, CA",37.7749295,-122.4194155,94112,5,3061.7,123711,12.1
"Honolulu, HI",21.3098845,-157.8581401,96818,5,3035.9,64143,6.3
"Philadelphia, PA",39.9525839,-75.1652215,19120,9,2498.4,72379,6.1
"Miami, FL",25.7616798,-80.1917902,33125,10,3154,73522,10.9
"Baltimore, MD",39.2903848,-76.6121893,21215,10,2581.7,70490,6.3
"Denver, CO",39.7392358,-104.990251,80219,11,3106.6,78150,7.3
"Washington, DC",38.9071923,-77.0368707,20011,12,2527.7,80822,6.2
"Boston, MA",42.3600825,-71.0588801,2124,12,2633.6,92290,7
"Nashville, TN",36.1626638,-86.7816016,37211,13,2510.1,70026,8.8
"New York City, NY",40.7127753,-74.0059728,11368,14,2534.7,85136,8.1
"Austin, TX",30.267153,-97.7430608,78745,14,2643.7,71372,9.9
"Chicago, IL",41.8781136,-87.6297982,60629,15,2508.4,71992,8.3
"Portland, OR",45.515232,-122.6783853,97206,15,2340.9,68374,8.1
"Minneapolis, MN",44.977753,-93.2650108,55407,15,2710.7,71912,6.2
"Seattle, WA",47.6062095,-122.3320708,98115,16,2169.7,89274,8.4
"San Antonio, TX",29.4251905,-98.4945922,78228,16,2629.2,53648,7.3
"Atlanta, GA",33.748752,-84.3876845,30318,18,2738.3,63219,7.2
"New Orleans, LA",29.9510658,-90.0715323,70119,19,2648.9,61327,6.6